체험단 사이트,접속 주소 (URL),주요 카테고리,주력 채널,당첨 확률,비고
미블 (Mr.Blog),https://www.mrblog.net/,맛집 방문 제품,블로그,매우 높음,초보 블로거 당첨률 최상위
링블체험단,https://www.ringble.co.kr/,맛집 제품 방문,블로그 인스타,매우 높음,신청자 대비 경쟁률 낮음
가보자체험단,http://가보자체험단.com/,맛집 방문,블로그,매우 높음,지역 방문형 초보 특화
놀러와체험단,https://cometoplay.kr/,맛집 방문 제품,블로그,높음,지역 기반 맛집/방문 캠페인 다수
데일리뷰,https://dailyview.kr/,맛집 방문 제품,블로그,높음,중소형 플랫폼으로 당첨 용이
아싸뷰,https://assaview.co.kr/,맛집 방문 제품,블로그 인스타,높음,선착순/앱 기반 빠른 모집
체험뷰,https://chvu.co.kr/,맛집 방문 제품 숙박,블로그 인스타,높음,방문형 중심 당첨 기회 많음
티블 (TBLE),https://www.tble.kr/,맛집 방문 제품,블로그 인스타,높음,지역/배송 균형적 신청률 양호
리뷰윙,https://reviewwing.co.kr/,제품 방문,블로그,높음,배송형 제품 및 방문 캠페인
구구다스,https://99das.com/,제품 방문,블로그 인스타,높음,마켓형 체험단 초보 진입 쉬움
시원뷰,https://www.sioneview.com/,맛집 방문 제품,블로그,보통~높음,지역 중심 방문 캠페인 다수
리뷰로거,https://reviewloger.com/,제품 방문,블로그 인스타,보통~높음,CPS 및 리뷰어 모집 용이
모두의체험단,https://modan.kr/,제품 방문 숙박,블로그,보통,배송/방문/기자단 등 다양
오늘리뷰,https://onulreview.com/,제품 방문,블로그 인스타,보통,신생/중소형 배송 전문
픽미,https://www.pick-me.kr/,제품 방문,블로그 인스타,보통,블로그/SNS 배송 캠페인
클라우드리뷰,https://www.nugunablog.co.kr/,제품 방문,블로그 인스타,보통,누구나 참여 가능한 오픈형
어바웃라이프,https://aboutlife.kr/,맛집 방문 제품,블로그,보통,지역 맛집 위주
마녀체험단,http://witchad.kr/,제품 방문,블로그 인스타,보통,뷰티/생활 제품 협찬
에코블로그,https://echoblog.net/,제품 방문,블로그,보통,배송형 리필/친환경/제품 위주
오마이블로그,https://ohmyblog.co.kr/,맛집 제품 숙박,블로그 인스타,보통,웹·앱 리뉴얼 캠페인 다양
스토리앤,https://storyn.kr/,맛집 방문 제품,블로그 인스타,보통,방문형 맛집/체험 다수
포블로그,http://www.4blog.net/,맛집 방문 제품,블로그 인스타,보통,블로그 위주 캠페인 다수
서울오빠,https://www.seoulouba.co.kr/,맛집 방문 숙박,블로그 인스타,보통,방문형/투어/숙박 중심
강남맛집,https://xn--939au0g4vj8sq.net/,맛집 방문,블로그 인스타,보통,맛집/카페 방문 카테고리 특화
디너의여왕,https://dinnerqueen.net/,맛집 방문,블로그 인스타,보통,맛집/뷰티 고품질 캠페인
체리플,https://cherryple.com/,제품 방문,인스타 블로그,보통,인스타/블로그 체험단 전문
리뷰플레이스,https://reviewplace.co.kr/,제품 맛집 방문,블로그 인스타,보통~낮음,캠페인 많으나 지원자도 많음
리뷰노트,https://www.reviewnote.co.kr/,맛집 방문 제품 숙박,블로그 인스타,낮음,대형 플랫폼으로 경쟁률 상승
파인앳플,https://www.fineadple.com/,제품 방문,블로그 인스타,낮음,인스타그램 협찬 비중 높음
0.8리터,https://www.08liter.com/try,제품,인스타,낮음,글로벌/브랜드 배송 제품 위주
르뷰,https://rewview.co.kr/,제품(뷰티/패션),인스타 블로그,낮음,뷰티/라이프스타일 브랜드 특화
팔레트미,https://www.palett.me/,제품(뷰티) 숙박,인스타,낮음,인플루언서 전용 / 뷰티 중심
태그바이,https://www.tagby.kr/,제품 숙박,인스타 유튜브,낮음,숏폼/인스타 유망주 경쟁 치열
잇플루언서,https://www.itfluencer.co.kr/,제품 숙박 방문,인스타 유튜브 블로그,낮음,대형 브랜딩 캠페인 중심
레뷰 (REVU),https://www.revu.net/,제품 맛집 숙박 방문,블로그 인스타 유튜브,매우 낮음,회원수 1위 최상위 경쟁률
다나와 체험단,http://event.danawa.com/experience/,제품(IT/가전),블로그 유튜브,매우 낮음,고가 IT/테크 제품 특화 경쟁
네이버 쇼핑 체험단,https://shopping.naver.com/,제품,블로그,매우 낮음,스토어 제품 무료 지급 경쟁 치열
뽐뿌 체험단,https://www.ppomppu.co.kr/zboard/zboard.php?id=experience,제품(IT/가전/생활),블로그 기타,매우 낮음,커뮤니티 유저 대거 참가
투잡커넥트,https://www.tojobcn.com/,방문 제품,블로그 기타,변동성,마케팅 제휴/구인형 체험단
리뷰쉐어,https://reviewshare.io/,제품 방문,블로그 인스타,자율/변동,브랜드 직접 매칭(조건별 차등)
슈퍼멤버스,모바일 앱 전용 (앱스토어/구글플레이),맛집 방문,블로그 인스타,조건부,블로그/인스타 등급제 자동 이용
퍼그샵,https://pugshop.co.kr/,제품,쇼핑몰 구매평,높음 (선착순),쇼핑몰 구매평 페이백 전문
포포몬 (Popomon),https://popomon.com/,제품 맛집 숙박,인스타 블로그 유튜브,보통~낮음,SNS/인플루언서 협찬 매칭 앱
